category,day_of_week,post_hour,followers,reel_duration_sec,num_hashtags,caption_length,has_music,has_trending_audio,collab_post,avg_past_views,past_engagement_rate,num_mentions,is_sponsored,views
travel,Sunday,3,428,45,23,170,1,0,0,9125,0.124,1,0,5410
motivation,Tuesday,11,575,15,7,131,1,0,0,1463,0.0701,4,0,1256
gaming,Tuesday,7,1354,60,15,135,1,0,1,33,0.0881,4,1,3084
gaming,Thursday,5,26788,60,0,41,1,1,0,23,0.0843,0,0,18572
food,Thursday,14,73653,45,24,5,1,0,1,575,0.0884,4,0,39503
travel,Wednesday,11,1631,60,15,169,1,0,0,929,0.1072,0,0,1715
dance,Tuesday,15,4519,15,29,287,1,0,1,713,0.0963,2,0,10063
finance,Wednesday,15,11870,30,24,214,1,0,0,19690,0.0447,8,0,7148
finance,Tuesday,20,2716,30,1,68,1,1,0,38,0.0853,3,0,1621
fitness,Wednesday,19,11063,30,1,26,1,0,0,1676,0.0405,8,0,6072
travel,Wednesday,19,4878,60,7,224,0,0,1,3988,0.0904,5,0,7682
travel,Friday,3,3114,15,11,233,1,0,0,3823,0.0676,0,0,5400
finance,Wednesday,10,381,15,10,50,1,0,0,6553,0.0107,2,0,1924
travel,Thursday,12,6427,15,5,148,1,1,0,1385,0.1114,2,0,10933
food,Wednesday,8,27586,60,18,74,1,0,0,1794,0.0448,3,0,17915
fashion,Tuesday,3,1210,90,27,91,1,0,0,566,0.1384,9,0,4832
comedy,Wednesday,11,142,30,17,67,0,0,0,53,0.0457,3,0,2977
gaming,Monday,8,2765,30,4,234,1,1,0,2116,0.1495,7,0,5395
motivation,Saturday,12,74427,30,14,143,1,1,0,490,0.0721,2,1,54522
fitness,Tuesday,15,43543,30,7,75,0,1,0,247,0.0088,3,0,20916
fashion,Monday,5,1728,15,5,85,1,0,0,2309,0.0161,2,1,1541
finance,Tuesday,9,11158,45,11,226,1,1,1,2759,0.0169,6,0,8824
gaming,Thursday,12,14829,30,18,55,0,0,0,267,0.0132,5,0,6026
travel,Saturday,6,71869,30,11,79,1,0,0,1808,0.0438,0,0,40570
motivation,Saturday,18,301,7,11,23,1,1,1,932,0.0521,9,0,9534
travel,Thursday,23,717,45,8,226,0,0,0,1603,0.0211,0,0,3352
dance,Saturday,18,131,60,23,27,1,0,0,13455,0.0685,5,0,18260
dance,Thursday,16,1449,30,9,120,1,0,0,2657,0.058,2,0,5804
motivation,Monday,12,33501,45,21,92,1,0,0,2284,0.0973,8,0,33626
motivation,Friday,12,1794,30,16,111,1,0,0,186,0.0334,1,0,4171
finance,Tuesday,20,466,30,17,30,1,1,1,247,0.1375,2,0,4095
motivation,Thursday,1,7390,30,15,142,1,0,0,2872,0.0798,8,0,7135
food,Tuesday,9,7740,45,3,297,1,1,0,45,0.0954,5,0,6360
travel,Monday,21,787,30,17,226,1,1,0,537,0.0107,0,0,4966
fashion,Friday,12,1976,45,2,249,1,0,0,238,0.0861,1,0,4080
education,Monday,8,6444,30,15,49,1,0,0,825,0.0584,6,0,5615
motivation,Saturday,0,18821,45,13,213,1,1,0,712,0.139,5,1,14873
fitness,Tuesday,13,1528,45,23,268,1,1,1,1423,0.1334,0,0,7264
dance,Sunday,15,1179,30,8,287,1,0,0,2780,0.0975,9,0,5135
food,Friday,19,153675,60,5,194,1,0,0,7579,0.1163,1,0,110264
gaming,Saturday,14,3001,30,3,253,1,1,0,8809,0.0985,5,0,8149
education,Friday,0,7700,90,26,78,0,0,0,682,0.0075,5,0,5287
fashion,Saturday,16,15788,45,1,243,1,1,0,336,0.107,5,0,15162
education,Monday,23,197,15,22,90,1,0,0,226,0.0307,8,0,2662
motivation,Thursday,12,4753,60,9,5,0,1,1,575,0.104,1,0,3949
finance,Tuesday,14,254,30,10,280,1,0,0,152,0.0065,9,0,3442
dance,Wednesday,15,3883,90,6,149,1,1,0,2805,0.0501,9,0,8215
dance,Wednesday,15,58198,45,25,281,1,1,0,8492,0.08,8,0,37553
gaming,Monday,1,814,7,24,190,1,0,0,51,0.0533,8,0,13211
finance,Tuesday,16,244,30,4,273,1,1,0,1117,0.1056,9,0,1458
travel,Tuesday,10,146948,30,25,72,1,0,0,24634,0.0808,8,0,40757
comedy,Monday,7,623,60,3,67,0,0,1,56,0.1442,8,0,5795
food,Tuesday,19,331,45,25,62,1,1,1,21046,0.0569,2,0,12732
dance,Thursday,2,90604,30,5,133,1,0,0,196,0.1097,9,0,112967
fitness,Monday,11,580,45,27,267,1,0,0,325,0.1262,8,0,4716
dance,Thursday,19,94925,30,1,222,1,0,0,3771,0.0418,9,0,64079
education,Tuesday,15,8049,15,1,125,1,0,0,3026,0.1143,8,0,3951
dance,Monday,13,49569,15,15,264,1,1,0,888,0.062,2,0,52356
dance,Tuesday,15,6870,15,27,6,1,0,0,238,0.0237,3,0,3114
comedy,Monday,20,34319,15,24,205,1,0,0,91,0.0055,3,0,27912
comedy,Tuesday,16,940,15,22,178,1,0,0,940,0.1128,3,0,4906
fashion,Thursday,10,1628,7,22,182,0,0,0,717,0.032,6,0,6010
travel,Sunday,16,109,60,12,227,1,0,0,224,0.0124,4,0,2425
fitness,Thursday,18,28260,15,20,235,1,1,0,657,0.0771,6,0,34541
dance,Tuesday,21,10459,15,6,145,1,0,0,1811,0.0553,5,0,6008
dance,Monday,0,801,15,24,57,1,0,1,9318,0.1053,6,0,14345
food,Wednesday,11,211,30,25,295,1,1,0,1619,0.0206,7,0,2502
comedy,Thursday,14,8162,30,4,240,1,0,0,771,0.0242,5,0,6249
fitness,Thursday,17,100379,15,24,286,1,0,0,211,0.0636,8,0,23996
gaming,Saturday,22,3834,30,16,162,1,1,0,247,0.0805,3,0,6002
fashion,Wednesday,13,1502,45,12,25,0,0,0,1690,0.1245,4,0,3490
travel,Tuesday,0,909,30,14,105,1,0,0,1884,0.0899,8,0,5062
finance,Sunday,12,46575,30,27,239,1,0,0,703,0.1359,8,0,19494
travel,Monday,14,1208,30,2,41,1,0,0,6701,0.0366,1,0,2631
education,Saturday,6,2519,15,22,132,1,0,0,1233,0.0915,1,0,8684
dance,Tuesday,14,32052,45,3,43,1,1,0,414,0.1,8,0,42939
fashion,Friday,19,15482,60,14,34,0,0,0,295,0.1102,5,0,29425
education,Sunday,9,2699,30,17,0,0,1,0,258,0.1484,7,0,7367
fitness,Thursday,13,1396,15,27,225,1,1,0,2864,0.0729,7,0,10622
finance,Friday,5,68736,90,29,298,1,1,1,316,0.0586,7,1,31185
comedy,Thursday,13,658,30,2,287,1,0,0,1359,0.1286,4,0,2154
fashion,Thursday,23,3366,15,6,235,1,0,0,200,0.0306,9,0,4088
fashion,Friday,21,326,30,7,32,1,0,0,785,0.0104,3,0,3120
dance,Sunday,11,41771,45,10,94,1,1,0,983,0.0693,2,0,33593
motivation,Friday,10,2090,60,24,204,1,0,0,124030,0.0408,3,1,53544
fashion,Tuesday,19,1395,30,21,108,1,1,0,80,0.0625,7,0,2923
food,Saturday,21,16171,15,25,29,0,0,0,5526,0.148,3,0,47153
finance,Saturday,23,377,30,8,265,1,1,0,235,0.0555,7,0,2287
finance,Friday,18,15424,90,19,22,1,0,0,16309,0.1077,7,0,19936
food,Tuesday,1,2568,15,11,96,1,1,0,271,0.0413,0,0,3631
gaming,Saturday,21,561,60,4,38,1,0,0,8712,0.049,8,1,14497
food,Tuesday,19,826,30,0,172,1,1,1,1708,0.0403,2,0,3037
food,Tuesday,0,1434,45,13,247,1,0,0,76,0.088,5,0,2422
finance,Thursday,7,2209,30,24,161,1,1,0,1631,0.0378,2,1,8994
travel,Saturday,13,568,30,24,179,1,1,0,3075,0.1092,8,0,12215
finance,Saturday,8,8350,45,24,102,1,0,0,3552,0.1036,0,0,14402
motivation,Thursday,1,542,60,2,208,1,0,0,682,0.0661,6,0,1981
dance,Friday,22,100,15,28,21,0,0,0,196665,0.0087,4,1,447422
education,Thursday,4,155642,30,14,4,1,0,0,53753,0.0083,2,0,75516
travel,Saturday,22,7018,15,9,138,1,1,0,2156,0.0823,6,0,4602
comedy,Saturday,7,182971,15,25,213,1,0,0,78,0.1267,0,1,296040
education,Sunday,15,751,45,9,159,1,0,0,148,0.0918,5,0,1593
dance,Friday,21,11656,15,23,138,1,1,1,640,0.0682,6,0,33058
motivation,Thursday,15,24594,45,2,144,1,0,0,905,0.1329,8,0,4611
motivation,Monday,12,3495,30,28,159,1,1,0,210,0.0336,8,0,8292
comedy,Monday,19,365,90,5,82,1,0,0,369,0.0571,6,0,3851
travel,Friday,14,3053,15,4,154,1,0,0,20,0.087,4,0,3054
gaming,Thursday,0,15176,7,23,287,1,0,0,14,0.0473,6,0,6351
food,Thursday,21,14168,7,18,280,1,0,0,1127,0.1497,0,0,11859
travel,Tuesday,2,4900,60,13,63,1,0,0,26496,0.0706,6,0,8118
gaming,Saturday,5,24713,30,16,191,1,0,0,49,0.0125,9,0,8417
motivation,Wednesday,21,22700,7,11,155,1,0,0,715,0.0305,3,0,8486
finance,Sunday,13,1914,60,8,90,1,0,0,1056,0.0822,1,0,4353
dance,Friday,3,318,60,25,141,0,0,0,2311,0.0848,5,0,19202
comedy,Wednesday,17,6924,60,24,41,1,0,0,395,0.1477,6,0,5501
dance,Wednesday,14,1281,15,2,248,1,1,1,121,0.092,6,0,3843
fitness,Friday,8,6366,30,17,294,1,1,0,3990,0.1017,7,0,24390
fitness,Thursday,17,55378,45,3,257,1,1,0,22,0.036,4,0,12586
travel,Friday,2,10801,30,13,0,0,1,0,2353,0.0205,9,0,2542
motivation,Wednesday,9,50678,15,23,108,0,1,0,219,0.0923,9,0,13144
motivation,Saturday,16,795,15,5,124,1,0,1,1785,0.1304,7,0,1176
food,Sunday,6,34801,90,25,63,1,0,0,11170,0.0902,3,0,71685
food,Sunday,14,100496,15,14,205,1,0,0,277,0.0692,9,0,63852
food,Saturday,0,5518,45,30,243,1,1,0,525,0.0888,0,0,11618
finance,Saturday,10,321160,30,16,77,1,1,0,472,0.073,7,0,197770
education,Thursday,16,1050,45,30,110,1,0,0,104500,0.0256,3,0,24516
fashion,Monday,4,1556,45,23,141,0,0,0,848,0.1125,4,0,12622
education,Friday,6,15833,30,4,215,1,1,0,774,0.0823,3,0,14615
dance,Sunday,18,5421,30,28,15,1,0,0,922,0.0629,6,0,15597
education,Saturday,23,1290,45,5,53,1,0,0,16412,0.0861,9,0,16022
finance,Friday,14,14978,15,20,140,1,0,0,306,0.04,2,0,11205
dance,Sunday,2,9320,45,25,78,1,1,1,5359,0.0671,1,1,25070
education,Saturday,14,1710,45,4,148,0,0,0,240,0.0953,9,0,8979
finance,Sunday,4,6907,30,18,126,1,0,0,209,0.0378,1,0,3001
fashion,Thursday,22,19268,30,13,157,1,0,0,2302,0.1136,6,1,24739
education,Monday,11,1643,15,3,278,1,0,1,12437,0.0805,9,0,2943
finance,Monday,19,12463,45,4,37,1,0,0,509,0.1299,5,0,3686
food,Saturday,4,1032,7,10,156,1,0,0,502,0.1278,1,0,4364
motivation,Sunday,2,1461,90,26,287,1,0,0,3906,0.0767,7,0,11516
food,Thursday,8,36346,90,1,111,1,0,0,1073,0.0333,5,0,4921
motivation,Tuesday,8,14834,15,21,189,1,0,0,4272,0.1118,7,0,9618
comedy,Friday,6,164,15,1,105,1,0,0,42,0.0657,5,0,2756
comedy,Friday,1,2505,30,19,90,0,1,0,137,0.0912,3,0,6360
comedy,Wednesday,22,11866,90,11,48,1,0,0,969,0.0206,7,0,34451
fashion,Thursday,22,6310,30,15,160,1,0,0,2707,0.0966,3,0,9082
food,Sunday,20,14954,30,16,3,1,1,0,845,0.0592,5,0,16847
motivation,Wednesday,15,6055,45,3,197,1,0,0,1286,0.0535,4,0,3769
finance,Saturday,8,3871,15,13,253,1,0,0,3688,0.1471,3,0,7510
dance,Sunday,12,3663,30,6,89,1,0,1,90,0.0677,6,0,5477
finance,Wednesday,18,35035,15,14,19,1,1,0,3687,0.1033,7,0,20035
dance,Monday,19,17169,30,29,76,0,1,0,8966,0.096,5,1,31581
fitness,Friday,16,10183,15,15,219,0,0,0,552,0.0201,0,0,3855
finance,Sunday,5,5766,30,7,161,1,1,0,195,0.1134,6,0,6193
education,Wednesday,3,1830,60,1,114,1,0,0,6487,0.0519,3,0,3421
education,Monday,0,2829,30,18,93,1,1,0,34168,0.1208,1,0,2487
travel,Thursday,17,33403,45,0,132,1,0,0,1473,0.0931,2,0,4507
food,Wednesday,18,28195,7,30,171,0,1,0,187,0.051,9,0,18038
dance,Saturday,8,1529,30,22,113,1,0,0,1083,0.0567,3,0,18749
dance,Saturday,12,5883,7,3,8,1,0,0,206,0.1111,6,0,6333
food,Saturday,7,12055,30,26,298,1,0,0,4592,0.0848,8,0,24620
fashion,Sunday,22,10718,15,25,259,1,1,0,991,0.1019,9,0,29778
travel,Friday,12,10570,15,23,169,1,1,0,171,0.028,5,0,14965
fashion,Wednesday,14,663,7,20,97,1,0,0,1634,0.1191,9,0,5876
fashion,Thursday,10,596,15,24,168,1,1,0,295,0.0515,4,0,2515
fashion,Wednesday,11,40390,30,21,217,1,1,0,79,0.0949,8,0,11161
food,Friday,13,74328,30,10,43,1,1,0,5006,0.0216,7,0,181012
fashion,Monday,3,341,7,9,260,0,0,0,1992,0.0516,7,1,3300
education,Friday,0,4675,45,17,284,1,0,0,429,0.0991,7,1,14383
comedy,Saturday,23,21275,30,0,125,1,0,1,13962,0.0448,7,0,11549
fitness,Sunday,3,100,30,16,259,1,0,0,246,0.1326,7,0,8855
dance,Monday,18,711,60,15,213,1,1,1,459,0.1009,9,0,8067
dance,Sunday,8,4163,15,11,199,1,1,0,2321,0.1312,9,0,14272
fitness,Saturday,9,1677,15,27,235,1,1,0,6326,0.0623,6,0,13332
food,Tuesday,3,7161,30,29,135,1,0,0,2396,0.0099,1,0,2945
finance,Friday,19,69346,90,29,115,1,1,0,354,0.0885,1,0,36598
food,Friday,8,1058,30,15,154,0,0,0,682,0.0542,4,1,6319
dance,Thursday,12,5380,60,8,17,1,1,0,301,0.07,5,0,6934
dance,Wednesday,11,2642,45,16,3,1,0,1,564,0.1038,8,0,6916
fitness,Monday,10,6282,30,2,164,0,1,0,656,0.1066,0,0,1715
fashion,Sunday,11,4966,30,27,126,1,1,0,2521,0.009,6,0,11038
food,Monday,17,566343,30,17,212,1,1,0,275,0.1165,6,0,177679
motivation,Thursday,11,71771,30,14,47,1,0,0,7402,0.0766,7,0,51882
fitness,Thursday,15,285,30,14,45,1,0,0,1043,0.0857,0,0,2939
education,Sunday,4,972,45,30,45,1,0,0,198,0.0482,9,0,4937
dance,Wednesday,19,1211,30,15,47,1,0,1,2385,0.066,3,0,21031
fitness,Sunday,11,532,7,27,186,1,1,0,862,0.108,9,0,4813
food,Sunday,20,418,45,19,119,1,1,0,436,0.1176,4,0,7009
dance,Saturday,10,3565,45,0,131,0,0,0,18639,0.0611,1,0,8176
finance,Wednesday,8,1297,90,30,18,1,0,0,586,0.1052,1,0,6609
fitness,Friday,17,988,30,0,274,1,1,0,442,0.0424,3,0,999
travel,Saturday,2,186624,7,3,231,1,0,0,7490,0.1256,2,0,133355
dance,Tuesday,19,1469,15,28,41,1,0,0,3004,0.0934,6,0,11932
food,Wednesday,16,2213,45,12,91,1,1,0,4958,0.1174,6,0,8590
comedy,Thursday,13,18669,7,29,260,1,1,0,355,0.0742,1,0,27912
motivation,Saturday,0,2200,60,3,47,0,0,0,1702,0.0382,4,0,2029
gaming,Wednesday,16,602,15,22,281,1,0,0,68,0.0672,4,0,2741
fashion,Monday,7,3089,60,7,73,1,0,0,23,0.0603,7,0,4599
gaming,Sunday,4,182721,45,12,215,1,0,1,336,0.0532,7,0,62632
food,Tuesday,4,2066,60,23,220,1,0,1,1205,0.0358,3,0,5073
education,Friday,8,952,15,7,108,1,0,0,133306,0.1151,9,1,94907
education,Sunday,2,10471,30,13,134,1,1,0,13353,0.0175,0,0,8151
comedy,Monday,18,2833,7,29,237,1,1,0,123,0.1337,5,0,7687
fashion,Monday,22,680232,15,27,154,1,1,0,6318,0.0304,6,1,234985
travel,Tuesday,8,1192,15,29,55,1,0,0,74,0.1471,0,0,6788
comedy,Friday,21,111381,45,24,197,1,0,0,23530,0.1483,7,0,120522
gaming,Thursday,17,39898,7,0,37,1,1,0,399,0.0628,8,0,23037
comedy,Saturday,15,2473,60,8,216,1,1,0,347,0.1482,7,0,9848
gaming,Friday,0,4883,7,25,230,1,1,0,8437,0.131,2,0,25254
dance,Wednesday,1,769,30,23,256,1,1,0,358,0.017,8,0,4554
education,Monday,13,1864,7,0,208,0,1,1,36189,0.1424,9,0,12341
dance,Wednesday,13,2442,45,6,200,1,0,0,350,0.0112,2,0,1139
motivation,Thursday,0,6529,15,24,136,1,0,0,6470,0.0314,3,0,3860
fashion,Wednesday,15,386,60,19,127,0,0,1,1382,0.0898,5,0,2678
travel,Friday,14,8609,30,12,52,1,1,0,4262,0.0167,6,1,14686
gaming,Wednesday,14,3779,90,14,83,1,0,0,146,0.0285,7,0,19821
travel,Thursday,11,10062,15,28,208,1,1,0,28,0.1433,6,0,12645
gaming,Thursday,15,13162,30,8,284,1,0,0,167,0.1492,2,1,14317
food,Thursday,13,3272,45,15,35,1,1,0,488,0.1207,1,0,4998
comedy,Friday,23,11834,60,16,214,0,0,1,735,0.0797,1,0,5417
motivation,Thursday,14,4201,30,8,26,1,0,0,416,0.1355,8,1,5865
education,Monday,22,18736,60,5,145,0,1,0,15,0.0212,6,0,6088
gaming,Sunday,14,8682,15,19,17,1,0,0,305,0.1417,6,0,9194
travel,Thursday,18,6808,45,11,117,1,0,0,1186,0.056,4,0,9531
motivation,Wednesday,7,4087,15,15,136,1,0,0,674,0.1299,5,0,3872
finance,Saturday,1,50638,15,27,66,1,1,1,518,0.1019,6,0,43578
finance,Wednesday,1,10191,30,20,29,1,1,1,436,0.1442,8,0,6139
dance,Saturday,9,455,60,14,72,1,1,0,1227,0.1304,9,0,13448
education,Wednesday,2,2101,90,6,122,1,1,0,135,0.1337,3,0,2830
food,Friday,22,3256,30,9,227,1,1,0,671,0.0966,5,1,7392
travel,Wednesday,16,4904,60,28,272,1,0,1,485,0.1258,0,0,10058
comedy,Friday,7,6755,30,3,245,1,0,0,90,0.1148,6,0,4467
comedy,Friday,22,898,45,23,38,1,0,0,762,0.0284,3,0,22315
